"Collection Name","Field","Type","DB Constraints","Description","Validation"
"ArchivedLinkedAccount","branch_code","string","NOT NULL","The unique code identifying the bank branch where this account was originally opened or linked, used for branch-level operations and reporting.","None explicitly defined in DTO"
"ArchivedLinkedAccount","linked_status","bool","NOT NULL","Boolean flag indicating the current linkage status of this archived account, showing whether it was linked at the time of archival.","None explicitly defined in DTO"
"ArchivedLinkedAccount","last_linked_status","bool","NOT NULL","The previous linkage status of this account before archival, providing historical context for account state transitions.","None explicitly defined in DTO"
"ArchivedLinkedAccount","linked_at","time.Time","NOT NULL","Timestamp indicating when this account was originally linked to the user's profile in the application.","None explicitly defined in DTO"
"ArchivedLinkedAccount","linker_branch","string","NOT NULL","The branch code or identifier of the branch that performed the account linking operation, used for audit and operational tracking.","None explicitly defined in DTO"
"ArchivedLinkedAccount","registration_type","constants.RegistrationType","NOT NULL","An enumeration indicating the method by which the account was registered or linked, such as self-registration or branch-assisted registration.","None explicitly defined in DTO"
"ArchivedLinkedAccount","is_account_active","bool","NOT NULL","Boolean flag indicating whether the underlying bank account is currently active and operational in the core banking system.","None explicitly defined in DTO"
"ArchivedLinkedAccount","and_or_status","bool","NOT NULL","Boolean flag indicating the logical relationship (AND/OR) for multi-account scenarios, determining how multiple accounts interact in transaction processing.","None explicitly defined in DTO"
"ArchivedLinkedAccount","account_branch_code","string","NOT NULL","The branch code associated with the account itself, which may differ from the linking branch code in certain scenarios.","None explicitly defined in DTO"
"ArchivedLinkedAccount","currency","string","NOT NULL","The three-letter ISO 4217 currency code for this account, such as ETB for Ethiopian Birr, determining the account's monetary denomination.","None explicitly defined in DTO"
"ArchivedLinkedAccount","is_main","bool","NOT NULL, default: false","Boolean flag indicating whether this is the primary or main account for the user, with the first linked account typically set to true by default.","None explicitly defined in DTO"
"ArchivedLinkedAccount","maker_and_checker_linkers_maker","string","NOT NULL","The user identifier of the maker who initiated the account linking process, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"ArchivedLinkedAccount","maker_and_checker_linkers_checker","string","NOT NULL","The user identifier of the checker who approved the account linking process, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"ArchivedLinkedAccount","maker_and_checker_unlinkers_maker","string","nullable","The user identifier of the maker who initiated the account unlinking process, if applicable, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"ArchivedLinkedAccount","maker_and_checker_unlinkers_checker","string","nullable","The user identifier of the checker who approved the account unlinking process, if applicable, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"ArchivedLinkedAccount","created_at","time.Time","NOT NULL","Timestamp when this archived linked account record was created, automatically set upon archival.","None explicitly defined in DTO"
"ArchivedLinkedAccount","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this archived linked account record, automatically updated on each change.","None explicitly defined in DTO"
"AccountBlock","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each AccountBlock record.","None explicitly defined in DTO"
"AccountBlock","name","string","NOT NULL","The name of the account block entity, such as region name, district name, city name, or branch name.","None explicitly defined in DTO"
"AccountBlock","code","string","NOT NULL","The unique code identifier for the account block entity, used for referencing and hierarchical organization.","None explicitly defined in DTO"
"AccountBlock","address","string","NOT NULL","The physical address or location description of the account block entity.","None explicitly defined in DTO"
"AccountBlock","parent_id","*bson.ObjectID","nullable, FK to AccountBlock.id","Foreign key reference to the parent AccountBlock record, establishing hierarchical relationships (e.g., district belongs to region).","None explicitly defined in DTO"
"AccountBlock","slug","string","NOT NULL","A URL-friendly identifier for the account block entity, typically derived from the name for use in web interfaces.","None explicitly defined in DTO"
"AccountBlock","type","AccountBlockType","NOT NULL","An enumeration indicating the type of account block: R (Region), D (District), C (City), or B (Branch).","None explicitly defined in DTO"
"AccountBlock","is_enabled","bool","NOT NULL","Boolean flag indicating whether this account block entity is currently enabled and active in the system.","None explicitly defined in DTO"
"AccountBlock","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this account block record has been marked for deletion.","None explicitly defined in DTO"
"AccountBlock","created_at","time.Time","NOT NULL","Timestamp when this account block record was initially created in the system.","None explicitly defined in DTO"
"AccountBlock","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this account block record.","None explicitly defined in DTO"
"Branch","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Branch record.","None explicitly defined in DTO"
"Branch","branch_code","string","NOT NULL","The unique code identifying the bank branch, used for branch-level operations and routing.","None explicitly defined in DTO"
"Branch","branch_name","string","NOT NULL","The full name of the bank branch, providing human-readable identification.","None explicitly defined in DTO"
"Branch","branch_address","string","NOT NULL","The physical address of the bank branch location.","None explicitly defined in DTO"
"Branch","district_code","string","NOT NULL","The code of the district where this branch is located, establishing geographical hierarchy.","None explicitly defined in DTO"
"Branch","district_name","string","NOT NULL","The name of the district where this branch is located.","None explicitly defined in DTO"
"Branch","region_name","string","NOT NULL","The name of the region where this branch is located.","None explicitly defined in DTO"
"Branch","record_stat","string","NOT NULL","The record status indicator, typically used for synchronization with core banking systems.","None explicitly defined in DTO"
"Branch","enabled","bool","NOT NULL","Boolean flag indicating whether this branch is currently enabled and active in the system.","None explicitly defined in DTO"
"Branch","enable_or_disable_reason","string","nullable","A textual explanation for why the branch was enabled or disabled, used for audit and operational tracking.","None explicitly defined in DTO"
"Branch","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this branch record has been marked for deletion.","None explicitly defined in DTO"
"Branch","created_at","time.Time","NOT NULL","Timestamp when this branch record was initially created in the system.","None explicitly defined in DTO"
"Branch","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this branch record.","None explicitly defined in DTO"
"Region","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Region record.","None explicitly defined in DTO"
"Region","region_code","string","NOT NULL","The unique code identifying the administrative region, used for regional operations and reporting.","None explicitly defined in DTO"
"Region","region_name","string","NOT NULL","The full name of the administrative region, providing human-readable identification.","None explicitly defined in DTO"
"Region","region_address","string","NOT NULL","The address or location description of the regional administrative office.","None explicitly defined in DTO"
"Region","enabled","bool","NOT NULL","Boolean flag indicating whether this region is currently enabled and active in the system.","None explicitly defined in DTO"
"Region","enable_or_disable_reason","string","nullable","A textual explanation for why the region was enabled or disabled, used for audit and operational tracking.","None explicitly defined in DTO"
"Region","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this region record has been marked for deletion.","None explicitly defined in DTO"
"Region","created_at","time.Time","NOT NULL","Timestamp when this region record was initially created in the system.","None explicitly defined in DTO"
"Region","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this region record.","None explicitly defined in DTO"
"District","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each District record.","None explicitly defined in DTO"
"District","district_code","string","NOT NULL","The unique code identifying the administrative district, used for district-level operations and reporting.","None explicitly defined in DTO"
"District","district_name","string","NOT NULL","The full name of the administrative district, providing human-readable identification.","None explicitly defined in DTO"
"District","district_address","string","NOT NULL","The address or location description of the district administrative office.","None explicitly defined in DTO"
"District","region_id","string","NOT NULL, FK to Region.id","Foreign key reference to the Region record to which this district belongs, establishing geographical hierarchy.","None explicitly defined in DTO"
"District","region_name","string","NOT NULL","The name of the region to which this district belongs, denormalized for quick reference.","None explicitly defined in DTO"
"District","enabled","bool","NOT NULL","Boolean flag indicating whether this district is currently enabled and active in the system.","None explicitly defined in DTO"
"District","enable_or_disable_reason","string","nullable","A textual explanation for why the district was enabled or disabled, used for audit and operational tracking.","None explicitly defined in DTO"
"District","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this district record has been marked for deletion.","None explicitly defined in DTO"
"District","created_at","time.Time","NOT NULL","Timestamp when this district record was initially created in the system.","None explicitly defined in DTO"
"District","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this district record.","None explicitly defined in DTO"
"City","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each City record.","None explicitly defined in DTO"
"City","city_code","string","nullable","The unique code identifying the city, used for city-level operations and reporting.","None explicitly defined in DTO"
"City","city_name","string","nullable","The full name of the city, providing human-readable identification.","None explicitly defined in DTO"
"City","city_address","string","nullable","The address or location description of the city administrative area.","None explicitly defined in DTO"
"City","district_id","string","nullable, FK to District.id","Foreign key reference to the District record to which this city belongs, establishing geographical hierarchy.","None explicitly defined in DTO"
"City","district_name","string","nullable","The name of the district to which this city belongs, denormalized for quick reference.","None explicitly defined in DTO"
"City","region_id","string","nullable, FK to Region.id","Foreign key reference to the Region record to which this city belongs, establishing geographical hierarchy.","None explicitly defined in DTO"
"City","region_name","string","nullable","The name of the region to which this city belongs, denormalized for quick reference.","None explicitly defined in DTO"
"City","enabled","bool","NOT NULL","Boolean flag indicating whether this city is currently enabled and active in the system.","None explicitly defined in DTO"
"City","enable_or_disable_reason","string","nullable","A textual explanation for why the city was enabled or disabled, used for audit and operational tracking.","None explicitly defined in DTO"
"City","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this city record has been marked for deletion.","None explicitly defined in DTO"
"City","created_at","time.Time","nullable","Timestamp when this city record was initially created in the system.","None explicitly defined in DTO"
"City","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this city record.","None explicitly defined in DTO"
"AuthTier","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each AuthTier record.","None explicitly defined in DTO"
"AuthTier","min_amount","uint64","NOT NULL","The minimum transaction amount threshold for this authentication tier, defining the lower bound of the amount range.","None explicitly defined in DTO"
"AuthTier","max_amount","uint64","NOT NULL","The maximum transaction amount threshold for this authentication tier, defining the upper bound of the amount range.","None explicitly defined in DTO"
"AuthTier","method","constants.Method","NOT NULL","An enumeration indicating the authentication method required for transactions within this amount range, such as PIN, OTP, or biometric."," PIN, OTP, or biometric."
"AuthTier","enabled","bool","NOT NULL","Boolean flag indicating whether this authentication tier is currently active and enabled for use in the system.","None explicitly defined in DTO"
"AuthTier","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this authentication tier record has been marked for deletion.","None explicitly defined in DTO"
"AuthTier","created_at","time.Time","NOT NULL","Timestamp when this authentication tier record was initially created in the system.","None explicitly defined in DTO"
"AuthTier","last_modified","time.Time","NOT NULL","Timestamp indicating the most recent modification to this authentication tier record.","None explicitly defined in DTO"
"Avatar","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Avatar record.","None explicitly defined in DTO"
"Avatar","avatar","string","NOT NULL","The file path or URL reference to the avatar image file, used for user profile picture display in the application interface.","None explicitly defined in DTO"
"Avatar","label","string","NOT NULL","A human-readable label or name for this avatar option, used for display and selection purposes in the user interface.","None explicitly defined in DTO"
"Avatar","enable","bool","NOT NULL","Boolean flag indicating whether this avatar option is currently enabled and available for user selection.","None explicitly defined in DTO"
"Avatar","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this avatar record has been marked for deletion.","None explicitly defined in DTO"
"Avatar","created_at","time.Time","NOT NULL","Timestamp when this avatar record was initially created in the system.","None explicitly defined in DTO"
"Avatar","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this avatar record.","None explicitly defined in DTO"
"Avatar","deleted_at","*time.Time","nullable","Timestamp indicating when this avatar record was soft-deleted, providing an audit trail for data lifecycle management.","None explicitly defined in DTO"
"Bank","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Bank record.","None explicitly defined in DTO"
"Bank","name","string","NOT NULL","The full legal name of the bank, used for display and identification purposes in the application interface.","required, length(3-25 characters), alphanumeric and spaces only, no special characters"
"Bank","logo","string","NOT NULL","The file path or URL reference to the bank's logo image, used for visual branding in the application interface.","required, max 2MB, JPEG/PNG/GIF/WebP only"
"Bank","code","string","NOT NULL","The unique code identifier for the bank, typically a standardized banking code used for interbank operations.","required"
"Bank","bic","string","NOT NULL","The Bank Identifier Code (BIC) or SWIFT code for the bank, used for international banking transactions and identification.","required"
"Bank","enabled","bool","NOT NULL","Boolean flag indicating whether this bank is currently enabled and active in the system.","None explicitly defined in DTO"
"Bank","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this bank record has been marked for deletion.","None explicitly defined in DTO"
"Bank","created_at","time.Time","NOT NULL","Timestamp when this bank record was initially created in the system.","None explicitly defined in DTO"
"Bank","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this bank record.","None explicitly defined in DTO"
"BankVaultProduct","id","string","PK, UUID, auto-generated","The primary key serving as a unique, auto-generated UUID identifier for each BankVaultProduct record, ensuring global uniqueness across the system.","required (auto-generated, no user input needed)"
"BankVaultProduct","name","string","NOT NULL, immutable","A human-readable name for the vault product, such as 'High-Yield Savings', which remains unchanged after creation to maintain consistency in user-facing displays.","required, length(3-100 characters), alphanumeric only, no special characters or spaces"
"BankVaultProduct","description","string","NOT NULL, updatable","A detailed description of the vault product features, terms, and conditions, providing comprehensive information to potential customers.","required, no special characters"
"BankVaultProduct","currency","string","NOT NULL, immutable","The three-letter ISO 4217 currency code for this vault product, such as ETB for Ethiopian Birr, determining the monetary denomination and remaining fixed after creation.","required, must match ISO 4217 format (3 uppercase letters), no special characters"
"BankVaultProduct","rate_bps","decimal.Decimal","NOT NULL","The interest rate for this vault product expressed in basis points (bps), where 100 bps equals 1 percentage point, used for interest calculation.","required, must be >= 0"
"BankVaultProduct","method","constants.AccrualMethod","NOT NULL","An enumeration indicating the interest accrual method: SIMPLE (interest calculated on principal only) or COMPOUND (interest calculated on principal plus accumulated interest).","required, must be one of: SIMPLE, COMPOUND"
"BankVaultProduct","frequency","constants.AccrualFrequency","NOT NULL","An enumeration indicating how frequently interest is calculated and accrued: DAILY, MONTHLY, QUARTERLY, or ANNUALLY.","required, must be one of: DAILY, MONTHLY, QUARTERLY, ANNUALLY"
"BankVaultProduct","lock_period","time.Duration","NOT NULL","The duration for which funds must remain locked in the vault before maturity, stored as a time duration and typically displayed in days to users.","required"
"BankVaultProduct","min_amount","decimal.Decimal","NOT NULL","The minimum deposit amount required to open this vault product, ensuring customers meet the product's entry threshold.","required, must be > 0, must be <= max_amount"
"BankVaultProduct","max_amount","decimal.Decimal","NOT NULL","The maximum deposit amount allowed for this vault product, setting an upper limit for customer investments.","required, must be > 0, must be >= min_amount"
"BankVaultProduct","early_unlock_fee_bps","decimal.Decimal","NOT NULL","The fee charged for early withdrawal expressed in basis points, applied when customers unlock their vault before the maturity date.","required, must be >= 0"
"BankVaultProduct","is_active","bool","NOT NULL","Boolean flag indicating whether this vault product is currently active and available for new customer subscriptions.","None explicitly defined in DTO"
"BankVaultProduct","created_at","time.Time","NOT NULL","Timestamp when this vault product record was initially created in the system.","None explicitly defined in DTO"
"BankVaultProduct","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this vault product record.","None explicitly defined in DTO"
"BankVaultProduct","deleted_at","*time.Time","nullable","Timestamp indicating when this vault product record was soft-deleted, providing an audit trail for data lifecycle management.","None explicitly defined in DTO"
"BankVaultProduct","created_by","string","NOT NULL","The identifier of the user or system that created this vault product record, used for audit and accountability purposes.","None explicitly defined in DTO"
"BankVaultProduct","updated_by","string","NOT NULL","The identifier of the user or system that last modified this vault product record, used for audit and accountability purposes.","None explicitly defined in DTO"
"BankVaultProduct","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this vault product record has been marked for deletion.","None explicitly defined in DTO"
"BPSUser","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each BPSUser record.","None explicitly defined in DTO"
"BPSUser","user_code","string","NOT NULL","A unique alphanumeric code assigned to the BPS user for identification purposes within the BPS system.","None explicitly defined in DTO"
"BPSUser","full_name","string","NOT NULL","The complete legal name of the BPS user, including first name, middle name, and last name.","None explicitly defined in DTO"
"BPSUser","username","string","NOT NULL","The unique username chosen by or assigned to the BPS user for login and account identification purposes.","None explicitly defined in DTO"
"BPSUser","phone_number","string","NOT NULL","The primary contact phone number for the BPS user, used for communication and authentication purposes.","None explicitly defined in DTO"
"BPSUser","branch_code","[]string","NOT NULL","An array of branch codes associated with this BPS user, allowing access to multiple branches for operational purposes.","None explicitly defined in DTO"
"BPSUser","branch_name","string","NOT NULL","The name of the primary branch associated with this BPS user.","None explicitly defined in DTO"
"BPSUser","home_branch","string","NOT NULL","The home branch code for this BPS user, representing their primary operational location.","None explicitly defined in DTO"
"BPSUser","role","string","NOT NULL","The role or job title of the BPS user within the banking system, determining their responsibilities and access levels.","None explicitly defined in DTO"
"BPSUser","login_attempt_count","uint8","NOT NULL","A counter tracking the number of consecutive failed login attempts, used for account security and potential lockout mechanisms.","None explicitly defined in DTO"
"BPSUser","password","types.Password","NOT NULL","The encrypted password structure containing salt, current password hash, password history, and password change timestamp.","None explicitly defined in DTO"
"BPSUser","first_password_set","bool","NOT NULL","Boolean flag indicating whether the BPS user has completed the initial password setup process.","None explicitly defined in DTO"
"BPSUser","enabled","bool","NOT NULL","Boolean flag indicating whether the BPS user account is currently enabled and active in the system.","None explicitly defined in DTO"
"BPSUser","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this BPS user record has been marked for deletion.","None explicitly defined in DTO"
"BPSUser","otp_verify_count","uint8","NOT NULL","A counter tracking the number of OTP verification attempts, used for rate limiting and security policy enforcement.","None explicitly defined in DTO"
"BPSUser","otp_last_tried_at","time.Time","NOT NULL","Timestamp of the most recent OTP verification attempt, whether successful or failed.","None explicitly defined in DTO"
"BPSUser","otp_last_verified_at","time.Time","NOT NULL","Timestamp of the most recent successful OTP verification.","None explicitly defined in DTO"
"BPSUser","permission_group","[]bson.ObjectID","NOT NULL","An array of permission group ObjectIDs assigned to this BPS user, defining their access permissions.","None explicitly defined in DTO"
"BPSUser","permissions","[]bson.ObjectID","NOT NULL","An array of individual permission ObjectIDs directly assigned to this BPS user.","None explicitly defined in DTO"
"BPSUser","last_login_attempt","time.Time","NOT NULL","Timestamp of the most recent login attempt, whether successful or failed.","None explicitly defined in DTO"
"BPSUser","next_login_attempt","time.Time","NOT NULL","Timestamp indicating when the next login attempt will be allowed after a series of failed attempts.","None explicitly defined in DTO"
"BPSUser","is_first_time_login","bool","NOT NULL","Boolean flag indicating whether this is the BPS user's first login, used for onboarding workflow tracking.","None explicitly defined in DTO"
"BPSUser","last_login","time.Time","NOT NULL","Timestamp of the most recent successful login by the BPS user.","None explicitly defined in DTO"
"BPSUser","created_at","time.Time","nullable","Timestamp when this BPS user record was initially created in the system.","None explicitly defined in DTO"
"BPSUser","last_modified_at","time.Time","nullable","Timestamp indicating the most recent modification to this BPS user record.","None explicitly defined in DTO"
"BudgetCategory","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each BudgetCategory record.","None explicitly defined in DTO"
"BudgetCategory","name","string","NOT NULL","The human-readable name of the budget category, such as 'Food', 'Transportation', or 'Entertainment', used for expense categorization.","None explicitly defined in DTO"
"BudgetCategory","color","string","NOT NULL","A color code or hex value associated with this budget category, used for visual representation in charts and user interfaces.","None explicitly defined in DTO"
"BudgetCategory","icon","string","NOT NULL","The file path or identifier for the icon image associated with this budget category, used for visual identification in the user interface.","None explicitly defined in DTO"
"BudgetCategory","enabled","bool","NOT NULL","Boolean flag indicating whether this budget category is currently enabled and available for use in the application.","None explicitly defined in DTO"
"BudgetCategory","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this budget category record has been marked for deletion.","None explicitly defined in DTO"
"BudgetCategory","created_at","time.Time","NOT NULL","Timestamp when this budget category record was initially created in the system.","None explicitly defined in DTO"
"BudgetCategory","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this budget category record.","None explicitly defined in DTO"
"Card","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Card record.","None explicitly defined in DTO"
"Card","card_name","string","NOT NULL","The name of the card category or type, such as 'Payment Cards' or 'Service Cards', used for organizing card functionalities.","None explicitly defined in DTO"
"Card","sub_cards","[]string","NOT NULL","An array of sub-card names or identifiers belonging to this card category, representing individual card options within the category.","None explicitly defined in DTO"
"CPSAction","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each CPSAction record.","None explicitly defined in DTO"
"CPSAction","action_code","string","NOT NULL","A unique code identifier for this CPS action, used for tracking and referencing specific action instances.","None explicitly defined in DTO"
"CPSAction","unique_id","string","nullable","A unique identifier for the entity or record associated with this CPS action, linking the action to its target object.","None explicitly defined in DTO"
"CPSAction","maker_id","string","NOT NULL","The identifier of the maker who initiated this CPS action, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"CPSAction","maker_name","string","NOT NULL","The full name of the maker who initiated this CPS action, used for display and audit purposes.","None explicitly defined in DTO"
"CPSAction","maker_phone_number","string","NOT NULL","The phone number of the maker who initiated this CPS action, used for contact and verification purposes.","None explicitly defined in DTO"
"CPSAction","checker_id","string","nullable","The identifier of the checker who approved or rejected this CPS action, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"CPSAction","checker_name","string","nullable","The full name of the checker who processed this CPS action, used for display and audit purposes.","None explicitly defined in DTO"
"CPSAction","checker_phone_number","string","nullable","The phone number of the checker who processed this CPS action, used for contact and verification purposes.","None explicitly defined in DTO"
"CPSAction","department","string","NOT NULL","The department name or identifier where this CPS action was initiated, used for organizational tracking and reporting.","None explicitly defined in DTO"
"CPSAction","rejection_reason","string","nullable","A textual explanation for why this CPS action was rejected, providing feedback on the rejection decision.","None explicitly defined in DTO"
"CPSAction","previous_action","interface{}","nullable","A flexible field storing information about the previous state or action before this CPS action was initiated, used for audit trail purposes.","None explicitly defined in DTO"
"CPSAction","current_action","interface{}","nullable","A flexible field storing information about the current state or action being processed, used for tracking action details.","None explicitly defined in DTO"
"CPSAction","action_status","string","nullable","The current status of this CPS action, such as PENDING, APPROVED, or REJECTED, indicating the workflow state.","None explicitly defined in DTO"
"CPSAction","action_type","string","nullable","The type of CPS action being performed, such as CREATE, UPDATE, or DELETE, indicating the operation category.","None explicitly defined in DTO"
"CPSAction","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this CPS action record has been marked for deletion.","None explicitly defined in DTO"
"CPSAction","request_action","string","NOT NULL","The specific action being requested in this CPS action, describing what operation is being performed.","None explicitly defined in DTO"
"CPSAction","created_at","time.Time","NOT NULL","Timestamp when this CPS action record was initially created in the system.","None explicitly defined in DTO"
"CPSAction","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this CPS action record.","None explicitly defined in DTO"
"CPSAction","maker_action_time","time.Time","NOT NULL","Timestamp indicating when the maker performed their action, marking the initiation of the CPS workflow.","None explicitly defined in DTO"
"CPSAction","checker_action_time","*time.Time","nullable","Timestamp indicating when the checker performed their action, marking the approval or rejection of the CPS workflow.","None explicitly defined in DTO"
"CPSUser","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each CPSUser record.","None explicitly defined in DTO"
"CPSUser","user_code","string","NOT NULL","A unique alphanumeric code assigned to the CPS user for identification purposes within the CPS system.","None explicitly defined in DTO"
"CPSUser","full_name","string","NOT NULL","The complete legal name of the CPS user, including first name, middle name, and last name.","required"
"CPSUser","role","string","NOT NULL","The role of the CPS user, such as 'maker' or 'checker', determining their responsibilities in the maker-checker approval workflow.","required, must be one of: maker, checker"
"CPSUser","department","bson.ObjectID","NOT NULL, FK to Department.id","Foreign key reference to the Department record to which this CPS user belongs, establishing organizational hierarchy.","required, must be valid ObjectID"
"CPSUser","gender","string","NOT NULL","The gender classification of the CPS user, typically MALE or FEMALE, used for demographic reporting.","required"
"CPSUser","phone_number","string","NOT NULL","The primary contact phone number for the CPS user, used for communication and authentication purposes.","required, must be valid phone format"
"CPSUser","email","string","NOT NULL","The email address associated with the CPS user's account, used for communication and account recovery.","required"
"CPSUser","username","string","NOT NULL","The unique username chosen by or assigned to the CPS user for login and account identification purposes.","required, no spaces, no special characters, length(1-100)"
"CPSUser","realm","string","NOT NULL","An enumeration indicating the organizational realm or domain to which the CPS user belongs.","None explicitly defined in DTO"
"CPSUser","permission_category","[]bson.ObjectID","NOT NULL","An array of permission category ObjectIDs assigned to this CPS user, defining their access permissions by category.","required, must be non-empty array of valid ObjectIDs"
"CPSUser","permission_group","[]bson.ObjectID","NOT NULL","An array of permission group ObjectIDs assigned to this CPS user, defining their access permissions by group.","required, must be non-empty array of valid ObjectIDs"
