Collection Name,Field,Type,DB Constraints,Description,Validation
CPSUser,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for CPS user.","auto-generated"
CPSUser,user_id,string,NOT NULL,"Reference to owning user.",""
CPSUser,role_code,string,NOT NULL,"Role code governing approval.",""
CPSUser,enabled,bool,NOT NULL,"Whether user is enabled.",""
CPSUser,is_deleted,bool,NOT NULL,"Soft delete flag.",""
CPSUser,created_at,time.Time,NOT NULL,"Creation timestamp.",""
CPSUser,updated_at,time.Time,NOT NULL,"Update timestamp.",""

BPSUser,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for BPS user.","auto-generated"
BPSUser,user_id,string,NOT NULL,"Reference to owning user.",""
BPSUser,password,Password,NOT NULL,"Password details.",""
BPSUser,enabled,bool,NOT NULL,"Whether user is enabled.",""
BPSUser,is_deleted,bool,NOT NULL,"Soft delete flag.",""
BPSUser,created_at,time.Time,NOT NULL,"Creation timestamp.",""
BPSUser,updated_at,time.Time,NOT NULL,"Update timestamp.",""

Password,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for password.","auto-generated"
Password,password_hash,string,NOT NULL,"Hashed password value.",""
Password,salt,string,NOT NULL,"Password salt value.",""
Password,enabled,bool,NOT NULL,"Whether password is enabled.",""
Password,is_deleted,bool,NOT NULL,"Soft delete flag.",""
Password,created_at,time.Time,NOT NULL,"Creation timestamp.",""
Password,updated_at,time.Time,NOT NULL,"Update timestamp.",""

PasswordRule,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for password rule.","auto-generated"
PasswordRule,min_length,int,NOT NULL,"Minimum password length.",""
PasswordRule,max_length,int,NOT NULL,"Maximum password length.",""
PasswordRule,require_uppercase,bool,NOT NULL,"Whether uppercase characters are required.",""
PasswordRule,require_numbers,bool,NOT NULL,"Whether numbers are required.",""
PasswordRule,require_special_chars,bool,NOT NULL,"Whether special characters are required.",""
PasswordRule,enabled,bool,NOT NULL,"Whether rule is enabled.",""
PasswordRule,is_deleted,bool,NOT NULL,"Soft delete flag.",""
PasswordRule,created_at,time.Time,NOT NULL,"Creation timestamp.",""
PasswordRule,updated_at,time.Time,NOT NULL,"Update timestamp.",""

EcommerceMerchant,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for ecommerce merchant.","auto-generated"
EcommerceMerchant,merchant_id,string,NOT NULL,"Reference to owning merchant.",""
EcommerceMerchant,store_name,string,NOT NULL,"Store name.",""
EcommerceMerchant,store_description,string,NOT NULL,"Store description.",""
EcommerceMerchant,store_url,string,NOT NULL,"Store URL.",""
EcommerceMerchant,enabled,bool,NOT NULL,"Whether merchant is enabled.",""
EcommerceMerchant,is_deleted,bool,NOT NULL,"Soft delete flag.",""
EcommerceMerchant,created_at,time.Time,NOT NULL,"Creation timestamp.",""
EcommerceMerchant,updated_at,time.Time,NOT NULL,"Update timestamp.",""

LogisticsMerchant,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for logistics merchant.","auto-generated"
LogisticsMerchant,merchant_id,string,NOT NULL,"Reference to owning merchant.",""
LogisticsMerchant,store_name,string,NOT NULL,"Store name.",""
LogisticsMerchant,store_description,string,NOT NULL,"Store description.",""
LogisticsMerchant,store_url,string,NOT NULL,"Store URL.",""
LogisticsMerchant,enabled,bool,NOT NULL,"Whether merchant is enabled.",""
LogisticsMerchant,is_deleted,bool,NOT NULL,"Soft delete flag.",""
LogisticsMerchant,created_at,time.Time,NOT NULL,"Creation timestamp.",""
LogisticsMerchant,updated_at,time.Time,NOT NULL,"Update timestamp.",""

UssdMerchant,_id (json:id),bson.ObjectID,"PK, auto-generated (omitempty)","Unique MongoDB identifier for USSD merchant.","auto-generated"
UssdMerchant,merchant_id,string,NOT NULL,"Reference to owning merchant.",""
UssdMerchant,store_name,string,NOT NULL,"Store name.",""
UssdMerchant,store_description,string,NOT NULL,"Store description.",""
UssdMerchant,store_url,string,NOT NULL,"Store URL.",""
UssdMerchant,enabled,bool,NOT NULL,"Whether merchant is enabled.",""
UssdMerchant,is_deleted,bool,NOT NULL,"Soft delete flag.",""
UssdMerchant,created_at,time.Time,NOT NULL,"Creation timestamp.",""
UssdMerchant,updated_at,time.Time,NOT NULL,"Update timestamp.",""
